Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
OfBV2gBdB7yBjHqe_4wz4w,Classic Quiche Cafe,330 Queen Anne Rd,"{'latitude': 40.87487, 'longitude': -74.02111}",94,3.5,07666
dsxgbkIKyu7x7JgpAKeZPA,Tarallucci E Vino - Upper West Side,475 Columbus Ave,"{'latitude': 40.78436, 'longitude': -73.9735}",130,3.5,10024
U_hLyiUqDB16FBREKfJ8Xw,The Barrow House,1296 Van Houten Ave,"{'latitude': 40.8717056, 'longitude': -74.172376}",861,4.0,07013
lvbhH1AR8KCUCkNtLFAA7A,The Immigrant,341 E 9th St,"{'latitude': 40.72862, 'longitude': -73.9853399}",377,4.0,10003
hH8BocZ1FqiQUTMSID0i-A,1986 Est. Wine Bar & Lounge,43 W 32nd St,"{'latitude': 40.74814, 'longitude': -73.98755}",256,4.0,10001
KCBfW6sWl9Gx-LvMff08jg,Osteria Morini,218 Lafayette St,"{'latitude': 40.7219179851303, 'longitude': -73.9976472073402}",1170,4.0,10012
TDyu1-6XF7r1jc13j7nDNA,TØRST,615 Manhattan Ave,"{'latitude': 40.7233949, 'longitude': -73.950856}",399,4.5,11222
8MwqN3ZZCzYVKwzYgcCZdg,Local & Vine,282 Hudson St,"{'latitude': 40.72528, 'longitude': -74.0074}",86,4.5,10013
8wrrBfEpqR5zDkSDpEXAmg,Macaron Cafe,750 3rd Ave,"{'latitude': 40.7538454404831, 'longitude': -73.9724687720012}",175,3.5,10017
AZSC48kTDCRU1CqxdE04Kg,Dizzy's Club,10 Columbus Cir,"{'latitude': 40.7686020583993, 'longitude': -73.9830386638641}",375,4.0,10019
unLiejSYSWy2_sEWCoucOw,Seasons 52,630 Old Country Rd,"{'latitude': 40.740344, 'longitude': -73.61516}",805,4.0,11530
v64bMLxutTS2MWIrywBczA,Piccolo Cafe,313 Amsterdam Ave,"{'latitude': 40.780285, 'longitude': -73.980134}",519,3.5,10023
eMI0y5FnEzoGeiaFE_ejlQ,West Wine Bar,67 West St,"{'latitude': 40.7288678069569, 'longitude': -73.9592349202377}",42,4.5,11222
nBy8KtcUHktPFKw-VClG1A,La Pecora Bianca,950 2nd Ave,"{'latitude': 40.75495, 'longitude': -73.9682718}",239,3.5,10022
z0lX40tXQxOHlU26VhLATA,American Brass,49th Ave,"{'latitude': 40.7439708, 'longitude': -73.958493}",88,4.5,11109
qpkFmGyvbZv-g2fbwyNQUg,Bowery Meat Company,9 E 1st St,"{'latitude': 40.72453, 'longitude': -73.9917876}",503,4.0,10003
WIZPPe8T4s2AtLgDcNL0KQ,Freeman's,Freeman Alley,"{'latitude': 40.72201, 'longitude': -73.99246}",2,3.5,10002
OWAfPuMnSqn7Ru1_RNH8fw,Aria Wine Bar,369 51st St,"{'latitude': 40.76413, 'longitude': -73.98826}",410,3.5,10019
-P7qAIG1wr_gXW3nzIq5TA,Flex Mussels,174 East 82nd St,"{'latitude': 40.77637, 'longitude': -73.95646}",1032,4.0,10028
if6ZZopcH51YQ7E3y4BxaA,Tuscan Hills,11060 Queens Blvd,"{'latitude': 40.718921, 'longitude': -73.8392443}",409,4.0,11375
rnrEE7_UAeCKyVcQ_hO7OQ,El Tango Argentina Grill - Englewood,22 N Van Brunt St,"{'latitude': 40.894962, 'longitude': -73.9749874}",103,4.0,07631
2wQsfQkorp9L03vPEFAZJw,Hudson Clearwater,447 Hudson St,"{'latitude': 40.73109, 'longitude': -74.00699}",542,4.0,10014
S4uozcDEieoaXxIJ6TsUoQ,Dellarocco's,214 Hicks St,"{'latitude': 40.6950309, 'longitude': -73.9961252}",275,4.0,11201
FeSynfcDT4qB2kDixHUQCA,Danji,346 W 52nd St,"{'latitude': 40.764, 'longitude': -73.98686}",1006,4.0,10019
3BOSxJUZq6ospSg3-d29aA,Brasserie,4 Washington St,"{'latitude': 40.92504, 'longitude': -73.96509}",76,3.5,07670
X8Hl9OezX-Yr9Jir3fsF7g,Posto,310 2nd Ave,"{'latitude': 40.73483, 'longitude': -73.98282}",607,4.0,10003
E2zKMwHhz4--dyplQ7gf8A,Pappardella,316 Columbus Ave,"{'latitude': 40.7792833, 'longitude': -73.9776967}",591,3.5,10023
C3OlQ_y5LcgboyaKlpETYA,Trattoria Casa Di Isacco,536 9th Ave,"{'latitude': 40.75686, 'longitude': -73.99356}",294,4.0,10018
megxpLA5KciBJbW-jNm2RQ,Arno Ristorante,141 W 38th St,"{'latitude': 40.7534599, 'longitude': -73.98842}",215,3.5,10018
0ALbdMnTBX0vkSPLzIDMlw,Corkbuzz Wine Studio,13 E 13th St,"{'latitude': 40.735088, 'longitude': -73.9931414}",400,4.0,10003
PpaV1oQ6idf5kBLDc8lIXA,Vernissage Restaurant,111 Wagaraw Rd,"{'latitude': 40.940259, 'longitude': -74.161787}",13,3.5,07506
bjzBkF2FFMsdkCk50xseFQ,Etcetera Etcetera,352 W 44th St,"{'latitude': 40.75926, 'longitude': -73.99115}",431,4.0,10036
M7Bl6U2EjxI-n0ksoYtZ8w,Vero,1483 2nd Ave,"{'latitude': 40.77225, 'longitude': -73.95607}",299,3.5,10075
Z6WOPnG83sgn65SmeyGqAw,L'Artista Italian Kitchen & Bar,142 Hamilton Pl,"{'latitude': 40.824373, 'longitude': -73.948669}",13,4.0,10031
WCoCQQKN5jfu731pfOt1oQ,Cafe Du Pont,1038 1st Ave,"{'latitude': 40.757965, 'longitude': -73.962922}",2,3.5,10022
562aZEpTDdYKDe5hWuDyFA,La Gioconda,226 E 53rd St,"{'latitude': 40.7570686, 'longitude': -73.9684186}",163,4.0,10022
ZLkX44TyrF92pjRqBvpuig,Tannat,4736 Broadway,"{'latitude': 40.8649436583596, 'longitude': -73.9282702747694}",49,4.5,10040
ZqIFN8MctXVR1Y30Bsohtg,Epistrophy,200 Mott St,"{'latitude': 40.721202, 'longitude': -73.995401}",455,3.5,10012
