Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code
VW2Epq3C8jqysu6Edpu-RA,Atlas Kitchen,258 W 109th St,"{'latitude': 40.80332, 'longitude': -73.9668}",113,4.0,10025
a93NwZxjkPQydJxR42oPyg,Grain House,929 Amsterdam Ave,"{'latitude': 40.800127673827, 'longitude': -73.9657538384199}",79,4.0,10025
v0opDMezc6pKgdfR22KUnQ,Da Tang Szechuan,18 W 38th St,"{'latitude': 40.75128, 'longitude': -73.98376}",251,4.5,10018
EmJ7rfmv2y6lQZxgA8U__g,Red Peony Chinese Cuisine,24 W 56th St,"{'latitude': 40.76278, 'longitude': -73.97589}",291,4.5,10019
XvOhc15ETRp8FkK1_lVizQ,Chang Lai Fishballs & Noodles,240 Grand St,"{'latitude': 40.718481, 'longitude': -73.994468}",8,5.0,10002
sfsjk1h50ooC2ioY7m48gw,Pig Heaven,1420 3rd Ave,"{'latitude': 40.77544, 'longitude': -73.95686}",402,4.0,10028
iSjPBJRiWqrgxW7ZM3CGig,Birds of a Feather,191 Grand St,"{'latitude': 40.71442, 'longitude': -73.960441}",357,4.0,11211
Kqb7MjTPNkjPMoFRd-rWpw,MáLà Project,122 1st Ave,"{'latitude': 40.72713, 'longitude': -73.98542}",665,4.0,10009
bVkjBJlAIwKAj9Aw1KVWjA,Dim Sum Palace,334 W 46th St,"{'latitude': 40.76015, 'longitude': -73.9893699}",1269,4.0,10036
FXhSEZfIqjMZh4hR0_8jMQ,China Xiang 中国湘,360 W 42nd Street,"{'latitude': 40.7582902125633, 'longitude': -73.9925113993899}",482,4.0,10036
hUdRX0a_2ZZEmB8KCp-WYw,Authentic Szechuan,384 5th Ave,"{'latitude': 40.671147, 'longitude': -73.984866}",93,3.5,11215
8plXW6ZQI1awPu1scms3jQ,Silky Kitchen,138 W 46th St,"{'latitude': 40.757888, 'longitude': -73.984006}",3,4.5,10036
62Kedrco374IuZ_OFb0BxA,3 Times 茅庐,818 Broadway,"{'latitude': 40.73285, 'longitude': -73.99104}",97,4.0,10003
dDXtga5Kgo5B1twdezcZJA,Auntie Guan's Kitchen 108,108 W 14th St,"{'latitude': 40.7377213477598, 'longitude': -73.9974148512518}",343,3.5,10011
6QXp37VraLy8rGIbG2-Tjw,Taste of China Brooklyn,430 4th Ave,"{'latitude': 40.67115, 'longitude': -73.98833}",7,5.0,11215
xLJnT-pB4VECJzmUf1Whpg,3 Times 茅庐,90 Clinton St,"{'latitude': 40.718271, 'longitude': -73.985209}",56,4.0,10002
GCcJqfBm3Fq-ccYwit6xcw,Asian Taste,199 E 3rd St,"{'latitude': 40.7228795731505, 'longitude': -73.9829911834261}",15,4.0,10009
5rX_7IkvFx5MKqS3ikQe3Q,Fortune House,82 Henry St,"{'latitude': 40.698455, 'longitude': -73.992805}",125,3.0,11201
6tASYtO9zOrXr8-LPnAToQ,Zest Szechuan,45 W 39th St,"{'latitude': 40.75274, 'longitude': -73.98445}",590,4.0,10018
M-odQWSEfsR2mVEw7nKG-g,Nyonya,199 Grand St,"{'latitude': 40.7190148, 'longitude': -73.9968228}",2089,4.0,10013
zrV2yUsz1SxymeH51iRBRw,Chuan Tian Xia 川天下,5502 7th Ave,"{'latitude': 40.6397, 'longitude': -74.009131}",162,4.5,11220
5tWpAFpF618KJxBhHJzF7g,E Noodle 粥麵館 - Chinatown,5 Catherine St,"{'latitude': 40.71379, 'longitude': -73.99731}",91,4.0,10038
2wVirrAVg3ltAFHoHeXHMQ,Dim Sum Palace,59 2nd Ave,"{'latitude': 40.7259, 'longitude': -73.98986}",168,4.5,10003
LXmlfAmrGA3NfvYSfxIVvQ,Ma LaLa,42-02 30th Ave,"{'latitude': 40.7629662660109, 'longitude': -73.913354203105}",55,4.5,11103
Lbs8QBRN1U7IYBo5Mcv-RQ,88 Lan Zhou Handmade Noodle,40 Bowery St,"{'latitude': 40.715504, 'longitude': -73.996752}",1838,4.0,10013
97q5nUQTuBo_h00XCxna2A,Tasty Hand-Pulled Noodles,1 Doyers St,"{'latitude': 40.7142, 'longitude': -73.99787}",1602,4.0,10013
olRNNJCJ2TJvPRmjBiOcGA,Silky Kitchen,137 E 13th St,"{'latitude': 40.73297, 'longitude': -73.98829}",219,4.5,10003
5TnBfeoBpxPPwIXMGBMasg,New Double Dragon,37 1st Ave,"{'latitude': 40.7242, 'longitude': -73.98801}",82,4.0,10003
qH8PVeddtVs9cKN2pwgdkQ,Hwa Yuan,42 E Broadway,"{'latitude': 40.7137, 'longitude': -73.99598}",292,4.0,10002
wDuf4Qz9qsC62amLZgWNJQ,Little Alley,550 3rd Ave,"{'latitude': 40.74744, 'longitude': -73.97728}",370,4.0,10016
mUl0wtO7tPkBocuJqZ-7Dw,Dun Huang -  Grand Central,320 Lexington Ave,"{'latitude': 40.74922, 'longitude': -73.97785}",176,4.5,10016
kxv4jD_qXRPVrV0oPR7isQ,Yu Kitchen,2656 Broadway,"{'latitude': 40.79759, 'longitude': -73.9693099}",104,4.5,10025
AvTezlpt3GXTdSEnXbHP4w,Fatima's Halal Kitchen,25-25 Broadway,"{'latitude': 40.7631186084319, 'longitude': -73.9275405041124}",394,4.0,11106
Vzx-7-jSEBz2g8NuGVhHvQ,Philippe By Philippe Chow,33 E 60th St,"{'latitude': 40.76409, 'longitude': -73.97039}",710,3.5,10065
Puyzn1gagH9TsJz7EBJs3g,Baji Baji,145 1st Ave,"{'latitude': 40.72817, 'longitude': -73.98511}",26,4.5,10003
ynB8T3htx8s5V0YV8gVPGA,21 Shanghai House,21 Division St,"{'latitude': 40.7140138244835, 'longitude': -73.9964454932541}",430,4.0,10002
83ZcxzvtHX2PmsH_wPReOw,Grand Sichuan House,8701 5th Ave,"{'latitude': 40.62075, 'longitude': -74.02668}",234,4.0,11209
Lp8vAE5nHSt5zbu-lSGK8A,Hop Lee Restaurant,16 Mott St,"{'latitude': 40.71426, 'longitude': -73.99849}",311,4.0,10013
fLq5j4fkFmPD6I2tt6dSWQ,100% Mr. Lin,445 Albee Square W,"{'latitude': 40.69121, 'longitude': -73.98331}",19,4.0,11201
LztkKM-lvRraBbS9TVXzcg,Yiwanmen,150 Mott St,"{'latitude': 40.7193132739237, 'longitude': -73.9962630421457}",145,4.0,10013
tsTGTBrz2TqrYRgdr6vEJQ,C And Y Chinese,399 5th Ave,"{'latitude': 40.67042, 'longitude': -73.98496}",58,4.0,11215
i6RhqnCJ_oUfTu5LikGXUg,Dun Huang - East Village,300 E 12th St,"{'latitude': 40.73081, 'longitude': -73.98568}",350,4.5,10003
TzhAlljC_843JO7UDDUIaQ,The Tang - Upper West Side,920 Amsterdam Ave,"{'latitude': 40.80006, 'longitude': -73.96639}",212,4.5,10025
