Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
5TnBfeoBpxPPwIXMGBMasg,New Double Dragon,37 1st Ave,"{'latitude': 40.7242, 'longitude': -73.98801}",82,4.0,10003,chinese
qH8PVeddtVs9cKN2pwgdkQ,Hwa Yuan,42 E Broadway,"{'latitude': 40.7137, 'longitude': -73.99598}",292,4.0,10002,chinese
wDuf4Qz9qsC62amLZgWNJQ,Little Alley,550 3rd Ave,"{'latitude': 40.74744, 'longitude': -73.97728}",370,4.0,10016,chinese
mUl0wtO7tPkBocuJqZ-7Dw,Dun Huang -  Grand Central,320 Lexington Ave,"{'latitude': 40.74922, 'longitude': -73.97785}",176,4.5,10016,chinese
kxv4jD_qXRPVrV0oPR7isQ,Yu Kitchen,2656 Broadway,"{'latitude': 40.79759, 'longitude': -73.9693099}",104,4.5,10025,chinese
AvTezlpt3GXTdSEnXbHP4w,Fatima's Halal Kitchen,25-25 Broadway,"{'latitude': 40.7631186084319, 'longitude': -73.9275405041124}",394,4.0,11106,chinese
Vzx-7-jSEBz2g8NuGVhHvQ,Philippe By Philippe Chow,33 E 60th St,"{'latitude': 40.76409, 'longitude': -73.97039}",710,3.5,10065,chinese
Puyzn1gagH9TsJz7EBJs3g,Baji Baji,145 1st Ave,"{'latitude': 40.72817, 'longitude': -73.98511}",26,4.5,10003,chinese
ynB8T3htx8s5V0YV8gVPGA,21 Shanghai House,21 Division St,"{'latitude': 40.7140138244835, 'longitude': -73.9964454932541}",430,4.0,10002,chinese
83ZcxzvtHX2PmsH_wPReOw,Grand Sichuan House,8701 5th Ave,"{'latitude': 40.62075, 'longitude': -74.02668}",234,4.0,11209,chinese
Lp8vAE5nHSt5zbu-lSGK8A,Hop Lee Restaurant,16 Mott St,"{'latitude': 40.71426, 'longitude': -73.99849}",311,4.0,10013,chinese
fLq5j4fkFmPD6I2tt6dSWQ,100% Mr. Lin,445 Albee Square W,"{'latitude': 40.69121, 'longitude': -73.98331}",19,4.0,11201,chinese
LztkKM-lvRraBbS9TVXzcg,Yiwanmen,150 Mott St,"{'latitude': 40.7193132739237, 'longitude': -73.9962630421457}",145,4.0,10013,chinese
tsTGTBrz2TqrYRgdr6vEJQ,C And Y Chinese,399 5th Ave,"{'latitude': 40.67042, 'longitude': -73.98496}",58,4.0,11215,chinese
i6RhqnCJ_oUfTu5LikGXUg,Dun Huang - East Village,300 E 12th St,"{'latitude': 40.73081, 'longitude': -73.98568}",350,4.5,10003,chinese
TzhAlljC_843JO7UDDUIaQ,The Tang - Upper West Side,920 Amsterdam Ave,"{'latitude': 40.80006, 'longitude': -73.96639}",212,4.5,10025,chinese
UNyGz06_7RendbswIyNYtA,Shu Han Ju,465 6th Ave,"{'latitude': 40.73558, 'longitude': -73.99843}",171,3.5,10011,chinese
tA_AoGEL_oGllbU2j77Shw,Tiny Shanghai,122 Mulberry St,"{'latitude': 40.71781, 'longitude': -73.99795}",271,4.0,10013,chinese
Xnq40so4duth8y2ItGXFwA,Lucky Chance,395 Remsen Ave,"{'latitude': 40.656025, 'longitude': -73.923143}",1,5.0,11212,chinese
mDajKjZjRN4tVGEJFOgF9w,Wok 88,1570 3rd Ave,"{'latitude': 40.78042, 'longitude': -73.95322}",290,3.5,10128,chinese
hNLfVfnhexy7qegeYY6tkQ,Panda Chinese Restaurant,73-03 Yellowstone Blvd,"{'latitude': 40.717395, 'longitude': -73.8569718}",54,3.5,11375,chinese
coY9hclRerLMPXnurb7mQg,Rolls Rice,4046 Main St,"{'latitude': 40.758369, 'longitude': -73.8297651}",43,5.0,11354,chinese
3fQ9IExhN9KMqGHVm_9AEQ,Wing Cheong Restaurant,1389 Fulton St,"{'latitude': 40.680375, 'longitude': -73.945514}",55,4.0,11216,chinese
xH7mEjh4Rn6KdHjXYNoOjw,Yaso Tangbao,148 Lawrence St,"{'latitude': 40.6918206366101, 'longitude': -73.9863992364001}",761,3.5,11201,chinese
zYoL-o9YJpGTwJ-Gmj8AFA,Jue Lan Club,49 W 20th St,"{'latitude': 40.7409694, 'longitude': -73.9934031}",481,3.5,10011,chinese
Qgv2vyUV-DwK8YwrhU-jtw,Lan Sheng Restaurant,128 W 36th St,"{'latitude': 40.7517141867087, 'longitude': -73.9883603449123}",165,4.0,10018,chinese
kBZggrnSP1kcUMnsnfkTaQ,Nan Xiang Xiao Long Bao,39-16 Prince St,"{'latitude': 40.75924, 'longitude': -73.8326}",3618,4.0,11354,chinese
DmTz35KvxO20mH-pJxLNpg,Xi'an Famous Foods,96 8th Ave,"{'latitude': 40.740203, 'longitude': -74.001963}",5,5.0,10011,chinese
